ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
2210,사뿐사뿐 걸을수 있는 쿠션감,제품/브랜드,기능성 강조,쿠션감|사뿐사뿐,,
2211,내용이 진부하다,창의성,부정적,없음,진부함,
2212,내용이 좀 단순해요,광고 전반,평범함,없음,단순함,
2213,광고모델이 어색함,모델,호감도 낮음,,어색함,
2214,광고모델이 너무 좋다,모델,호감도 높음,광고모델,,
2215,대표적인 기능성에 대한 정보를 잘 전달해 주고 있어서,기능성 강조,긍정적 평가,기능성|정보 전달,,
2216,배경이 아름답고 도심속에서 신을수 있을거 같아요,비주얼,배경,배경|도심,,
2217,좀 더 구체적으로 했으면 좋겠다,광고 전반,부정적,없음,구체성 부족,
2218,수지가 안이쁘게 나옴,모델,호감도 낮음,,안이쁨|수지,
2219,하이킹이면 자주 많이 힘들게 걸을수 있는 것이 더 좋을 것 같은데 편안함만 보여줌,광고 전반,평범함,편안함,하이킹|힘듦,
2220,기능에 대한 설명이 잘 되어 있기 때문에,기능성 강조,긍정적 평가,기능|설명,,
2221,수지가 예쁘게 나오지 않아서,모델,호감도 낮음,,수지|예쁘지 않음,
2222,그냥 그런 광고임,전반적 평가,중립적,,그런 광고,
2223,애용하는 제품이다.,제품/브랜드,긍정적 평가,애용|제품,,
2224,상큼하다,감성 소구,긍정적,상큼함,,
2225,배경,Not enough data,Not enough data,,,
2226,수지가 마음에 들고 광고가 재밌다,모델,호감도 높음,수지|광고,,
2227,기능 설명이 간소화되어 이해는 가나 신선하진 않음,기능성 강조,부정적 평가,이해,신선함 부족,
2228,어색한 걸음걸이의 등장,광고 구성,부정적 평가,,어색한 걸음걸이|등장,
2229,어색하다,광고 구성,부정적 평가,,어색함,
2230,특별히 눈을 끄는 요소는 없지만 모델 때문에 평타,전반적 평가,중립적,모델,특별한 요소 없음,
2231,모델이 제품과 어울리지않아서,모델,호감도 낮음,,모델|제품|어울림,
2232,나이키 같은 감성이 없다,광고 전반,평범함,없음,감성,
2233,긍정적이라서,전반적 평가,긍정적,,,
2234,신발에 기능을 잘 설명 해서 좋았습니다.,기능성 강조,긍정적 평가,기능|설명,,
2235,걷기만,Not enough data,Not enough data,,,
2236,별 느낌이 없고 핑크색은 이쁜거 같다.,광고 전반,평범함,핑크색,느낌 없음,
2237,이유 없음,없음/모름,,,,
2238,FlyHike. 이거 하나면 다 됨,메시지/카피,독창성,FlyHike|다 됨,,
2239,제품의 특성을 잘 표현했다,기능성 강조,긍정적 평가,제품 특성|표현력,,
2240,재미가 없다,광고 전반,평범함,없음,재미,
2241,간결하고 깔끔한 느낌이라,광고 전반,신선함,간결함|깔끔함,,
2242,너무 평범하다,광고 전반,평범함,,평범함,
2243,수지 최고,모델,호감도 높음,수지,,
2244,이거하나면다됨,메시지/카피,이해도 높음,간결성,,
2245,모델이 호감이 감,모델,호감도 높음,호감,,
2246,그냥 광고 내용이 공감이 안 가는 편,메시지/카피,공감도 낮음,없음,공감 부족,
2247,특별한 점 없음,광고 전반,평범함,,특별한 점,
2248,첫 시작은 괜찮았으나 이후는 잘 모르겠다.,광고 전반,몰입도,첫 시작,모르겠음,
2249,편안한 분위기,감성 소구,따뜻함,편안한 분위기,,
2250,밝은 분위기,비주얼,색감,밝은 분위기,,
2251,좋아요,Not enough data,Not enough data,,,
2252,실감나게,광고 임팩트,강한 임팩트,실감,,
2253,산뜻하다,감성 소구,긍정적,산뜻함,,
2254,이유 없음,없음/모름,,,,
2255,싸구려 광고 느낌,전반적 평가,부정적,없음,싸구려 광고|느낌,
2256,배경이 평범함,비주얼,전체적 분위기,,평범함,
2257,전반적으로 분위기가 좋아서,전반적 평가,긍정적,분위기,,
2258,이유 없음,없음/모름,,,,
2259,배경이 다 좋아요,시각적 요소,배경,배경,,
2260,재미없다,광고 전반,부정적,없음,재미,
2261,모델이 누군지 모르겠다,모델,호감도 낮음,없음,모델 인지도 부족,
2262,걷는모습이 이상해보임,비주얼,부정적 평가,,걷는 모습|이상,
2263,활기찬 장면,비주얼,전체적 분위기,활기찬 장면,,
2264,플라이폼이 개인적으로 어떨지 호기심을 자아낸다,광고 임팩트,강한 임팩트,호기심,,
2265,모델이 마음에 든다,모델,호감도 높음,모델,,
2266,쿠션 기능이 뛰어난 운동화로는 보이나 흔히 접할 수 있는 광고로 보임,광고 전반,평범함,쿠션 기능|운동화,흔한 광고,
2267,모델,Not enough data,Not enough data,,,
2268,수지가 발랄해서,모델,호감도 높음,수지|발랄함,,
2269,이거 하나면 다됨~ 플라이 하이크 수지,메시지/카피,독창성,플라이 하이크|수지,,
2270,하이킹에 최적화된 이미지,제품/브랜드,기능성 강조,하이킹|최적화,,
2271,세부 내용을 모르겠다,없음/모름,,,,
2272,자주 본 광고라 익숙하다,광고 전반,평범함,익숙함,,
2273,광고가 경쾌하다,광고 전반,신선함,경쾌함,,
2274,그저그렇다,전반적 평가,중립적,,그저그럼,
2275,모든 활동에 하나로 해결,메시지/카피,이해도 높음,활동|해결,,
2276,완벽한쿠션,제품/브랜드,긍정적 평가,쿠션,,
2277,이유 없음,없음/모름,,,,
2278,가벼워 보임 경쾌하다,제품/브랜드,기능성 강조,가벼움|경쾌함,,
2279,모델이 맘에 안든다,모델,호감도 낮음,,모델,
2280,완벽한 쿠션,제품/브랜드,긍정적 평가,쿠션,,
2281,쿠션이 좋은 운동화라는 것을 평범하게 드러냈다고 생각한다.,광고 전반,평범함,쿠션,평범,
2282,광고 모델이 호감이 가고 기능성 설명이 참신하다,모델,호감도 높음,모델|호감도,,
2283,모든 부분이 대체로 마음에 들었음,전반적 평가,긍정적,마음에 들었음,,
2284,보통,Not enough data,Not enough data,,,
2285,광고 모델,모델,호감도 높음,,,
2286,플라이 하이크 특색있습니다.,독창성,높음,특색,,
2287,전체적으로 평범함,광고 전반,평범함,,평범함,
2288,색동감 있는 광고라서 좋네요.,비주얼,색감,색동감,,
2289,색깔 배합이 좋고 가벼워 보인다. 튼튼해보인다.,시각적 요소,색감,색깔 배합,,
2290,모델이 브랜드와 어울리지 않음,모델,호감도 낮음,,모델|브랜드,
2291,모델 얼굴이 부자연스럽다.,모델,호감도 낮음,없음,얼굴|부자연스러움,
2292,재미있고 전달 메세지가 뚜렷하다,메시지/카피,이해도 높음,재미|전달 메시지|뚜렷함,,
2293,수지,Not enough data,Not enough data,,,
2294,이거 하나면 다 됨,광고 전반,신선함,간편성,없음,
2295,수지의 발랄함이 그대로 전해진다 플라이워킹 제대로다,모델,호감도 높음,발랄함|플라이워킹,,
2296,운동화하나로 다양하게 신을수있었어,제품/브랜드,기능성 강조,다양성|활용도,,
2297,산뜻한 이미지,비주얼,전체적 분위기,산뜻한 이미지,,
2298,평범,Not enough data,Not enough data,,,
2299,색감과 화질이 좋다,시각적 요소,색감,색감|화질,,
2300,수지가 운동화를 신고 공원도로에서 사뿐사뿐 걷는 장면,비주얼,영상미,수지|공원도로|걷는 장면,,
2301,하나로 다 되는 기능성 신발,메시지/카피,이해도 높음,기능성|신발,,
2302,별로,Not enough data,Not enough data,,,
2303,활기차보임,광고 전반,신선함,활기,,
2304,광고모델 수지와 잘 어울려서,모델,호감도 높음,수지|어울림,,
2305,이유 없음,없음/모름,,,,
2306,K2 발랄함이 넘치는 광고네요,전반적 평가,긍정적,발랄함,,
2307,밑창의 쿠션의 편안함을 광고를 조금만 시청해도 파악가능 하다.,기능성 강조,긍정적 평가,편안함|쿠션,,
2308,모델과 신발이 너무 자세하게 대비되어서 보인다,비주얼,부정적 평가,,모델|신발|대비,
2309,하나로 다 된다는 기능성이 마음에 들어서,기능성 강조,긍정적 평가,기능성|하나로 다 됨,,
2310,수지,Not enough data,Not enough data,,,
2311,쿠션좋은운동화,제품/브랜드,기능성 강조,쿠션|운동화,,
2312,설명,Not enough data,Not enough data,,,
2313,좋아요,Not enough data,Not enough data,,,
2314,어디서든 신을수있는 신발,제품/브랜드,기능성 강조,범용성|실용성,,
2315,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
2316,그냥 평범함,광고 전반,평범함,,평범함,
2317,신고 싶은 신발의 느낌,구매 의도,긍정적,신발,,
2318,모델,Not enough data,Not enough data,,,
2319,이것 하나면 다됨,광고 전반,신선함,간결성|효과성,,
2320,경쾌하고 밝은 분위기,광고 전반,신선함,경쾌함|밝은 분위기,,
2321,FLYHIKE 수지 모두,광고 전반,신선함,FLYHIKE|수지,,
2322,관심이 크게 가지 않음,광고 전반,기억에 남지 않음,,관심,
2323,수지,Not enough data,Not enough data,,,
2324,이쁜수지를 삐주리로 만들었다,모델,부정적 평가,수지,삐주리,
2325,밝고 쾌활한 느낌,시각적 요소,색감,밝음|쾌활함,,
2326,쿠션 좋은 다용도,제품/브랜드,기능성 강조,쿠션|다용도,,
2327,케이투라서,제품/브랜드,브랜드 이미지,케이투,없음,
2328,별다른 느낌이 없다,광고 전반,평범함,,느낌 없음,
2329,이유 없음,없음/모름,,,,
2330,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
2331,편한신발,제품/브랜드,긍정적 평가,편한신발,,
2332,모델이 아웃도어 광고와 어울리지 않는다.,모델,호감도 낮음,,모델|어울리지 않음,
2333,특별히 눈에 띠는 것이 없어서,광고 전반,기억에 남지 않음,,눈에 띠는 것,
2334,신발 선전에 대한 집중력이 좋음,광고 전반,몰입도,집중력,,
2335,새감이 선명하다,시각적 요소,색감,새감|선명함,,
2336,플라이하이크와 케이투가 요즘 대세라고 느껴진다,제품/브랜드,브랜드 이미지,대세,,
2337,걷기 편한 신발인거같아서,제품/브랜드,기능성 강조,편한 신발,,
2338,그런대로,전반적 평가,중립적,,,
2339,다른 광고들과 비슷하다,광고 전반,평범함,없음,유사성,
2340,수지 모델,모델,호감도 높음,수지,,
2341,이상적이다,감성 소구,긍정적,이상적|광고,,
2342,활기차고 믿음이 간다,전반적 평가,긍정적,활기|믿음,,
2343,모델이 마음에 든다,모델,호감도 높음,모델,,
2344,이유 없음,없음/모름,,이유 없음,,
2345,홍보효과가 좋음,광고 전반,강한 임팩트,홍보효과,,
2346,제품정보를 영상에 별로 담지 않았고 제품의 특성도 이해하기 어려운 점,제품/브랜드,부정적 평가,,제품정보|제품특성|이해도,
2347,특별함이 없음,광고 전반,평범함,없음,특별함,
2348,쿠셔닝 이 기대되요,제품/브랜드,기능성 강조,쿠셔닝,,
2349,일상에서 즐기는 신발을 모습을 보여주었다.,광고 구성,긍정적 평가,일상|신발,,
2350,산뜻한 느낌의 젊은감각이 돋보임,광고 전반,신선함,젊은감각|산뜻한 느낌,,
2351,광고가 기억에 남음,광고 임팩트,강한 임팩트,기억,,
2352,광고 모델과 배경이 시선을 끈다,모델,호감도 높음,모델|배경,,
2353,기능을 재밌게 잘 설명함,메시지/카피,긍정적 평가,기능|설명,,
2354,수지 싫음,모델,호감도 낮음,,수지,
2355,상품명이 플라이아이크,기타,,상품명,,
2356,광고가 청량하다,비주얼,전체적 분위기,청량감,,
2357,딱히 기억에 남는 부분이 없어서,광고 전반,기억에 남지 않음,,기억에 남는 부분 없음,
2358,음악이 맘에 든다,음악/사운드,긍정적 평가,음악,,
2359,배경,Not enough data,Not enough data,,,
2360,모델,Not enough data,Not enough data,,,
2361,보통이다,전반적 평가,중립적,,보통,
2362,수지가 잘 어울려서,모델,호감도 높음,수지|어울림,,
2363,이거 하나면 다 됨,광고 전반,신선함,다,,
2364,모델의 걷는 모습이 인상적이에요.,모델,호감도 높음,걷는 모습|인상적,,
2365,쿠셔닝이라 비싸다,제품/브랜드,부정적 평가,,쿠셔닝|비싼 가격,
2366,나쁘지않아요,전반적 평가,중립적,,,
2367,모델이 최고다,모델,호감도 높음,모델,,
2368,수지와 음막,모델,호감도 높음,수지,,
2369,다른광고와 비슷해 보여서,광고 전반,평범함,없음,유사성,
2370,신발의 기능성에 대해서도 잘 어필하고 편안한 느낌의 착용감도 디자인도 잘 볼 수 있었음,기능성 강조,긍정적 평가,기능성|착용감|디자인,,
2371,기능성 제품 임을 쉽게 알수 있다,기능성 강조,긍정적 평가,기능성|제품,,
2372,수지가 나와서,모델,호감도 높음,수지,,
2373,제품이 돋보인다,제품/브랜드,긍정적 평가,제품,,
2374,너무 구태의연한 참신하지 않다,창의성,부정적,없음,구태의연함|참신하지 않음,
2375,수지란 모델이 호감이갔고 플라이워크라는 신발에대해 더욱 알고싶어졌다,모델,호감도 높음,수지|모델,,
2376,모델 표정이 어색해서 보기 불편하다,모델,호감도 낮음,없음,표정|어색함,
2377,K2 이미지와 안 어울림,제품/브랜드,부정적 평가,,이미지|부조화,
2378,평범한 느낌이 들음,광고 전반,평범함,,평범한 느낌,
2379,발랄함밖에 느껴지지 않아서,광고 전반,평범함,,발랄함,
2380,쿠셔닝 운동화에 대한 관심이 가서,구매 의도,긍정적,관심,,
2381,이유 없음,없음/모름,,,,
2382,신발이 완전 편할것같다,제품/브랜드,기능성 강조,편안함|신발,,
2383,모델,Not enough data,Not enough data,,,
2384,모델이 식상하다,모델,호감도 낮음,없음,식상함,
2385,모델은 마음에 들지만 무엇을 표현하는지 잘 모르겠다,모델,호감도 높음,모델,표현 부족|이해 어려움,
